Cat_Code,SBAOfficeCode_cat,ProcessingMethod_cat,LoanStatus_cat,Term_cat,ServicingLenderName_cat,RuralUrbanIndicator_cat,HubzoneIndicator_cat,LMIIndicator_cat,BusinessAgeDescription_cat,CD_cat,Race_cat,Ethnicity_cat,BusinessType_cat,OriginatingLender_cat,Gender_cat,Veteran_cat,NonProfit_cat,NAICSCode_2digits_cat,Verified_Address_cat,CaseLabel_cat
0,101.0,PPP,Charged Off,0.0,"	Farm Credit Services of Western Arkansas, ACA",R,N,N,Change of Ownership,AE-,American Indian or Alaska Native,Hispanic or Latino,"501(c) – Non Profit except 3,4,6,","	Farm Credit Services of Western Arkansas, ACA",Female Owned,Non-Veteran,N,11,0.0,False
1,130.0,PPS,Exemption 4,1.0,"	Farm Credit of Western Oklahoma, ACA",U,Y,Y,Existing or more than 2 years old,AK-,Asian,Not Hispanic or Latino,501(c)19 – Non Profit Veterans,"	Farm Credit of Western Oklahoma, ACA",Male Owned,Unanswered,Y,21,1.0,True
2,150.0,,Paid in Full,2.0,"	Yankee Farm Credit, ACA",,,,New Business or 2 years or less,AL-01,Black or African American,Unknown/NotStated,501(c)3 – Non Profit,"	Yankee Farm Credit, ACA",Unanswered,Veteran,,22,,
3,156.0,,,3.0,121 Financial Credit Union,,,,"Startup, Loan Funds will Open Business",AL-02,Eskimo & Aleut,,501(c)6 – Non Profit Membership,121 Financial Credit Union,,,,23,,
4,165.0,,,4.0,1st Advantage Bank,,,,Unanswered,AL-03,Multi Group,,Cooperative,1st Advantage Bank,,,,31,,
5,172.0,,,5.0,1st Advantage FCU,,,,,AL-04,Native Hawaiian or Other Pacific Islander,,Corporation,1st Advantage FCU,,,,32,,
6,189.0,,,6.0,1st Bank Yuma,,,,,AL-05,Puerto Rican,,Employee Stock Ownership Plan(ESOP),1st Bank Yuma,,,,33,,
7,202.0,,,7.0,1st Bank in Hominy,,,,,AL-06,Unanswered,,Housing Co-op,1st Bank in Hominy,,,,42,,
8,206.0,,,8.0,1st Bank of Sea Isle City,,,,,AL-07,White,,Independent Contractors,1st Bank of Sea Isle City,,,,44,,
9,219.0,,,9.0,1st Bergen FCU,,,,,AP-,,,Joint Venture,1st Bergen FCU,,,,45,,
10,235.0,,,10.0,1st Capital Bank,,,,,AR-01,,,Limited  Liability Company(LLC),1st Capital Bank,,,,48,,
11,248.0,,,11.0,1st Choice CU,,,,,AR-02,,,Limited Liability Partnership,1st Choice CU,,,,49,,
12,252.0,,,12.0,1st Colonial Community Bank,,,,,AR-03,,,Non-Profit Childcare Center,1st Colonial Community Bank,,,,51,,
13,296.0,,,13.0,1st Community Bank,,,,,AR-04,,,Non-Profit Organization,1st Community Bank,,,,52,,
14,299.0,,,14.0,1st Community CU,,,,,AS-,,,Not Listed,1st Community CU,,,,53,,
15,303.0,,,15.0,1st Community FCU,,,,,AZ-01,,,Partnership,1st Community FCU,,,,54,,
16,304.0,,,16.0,1st Equity Bank,,,,,AZ-02,,,Professional Association,1st Equity Bank,,,,55,,
17,341.0,,,17.0,1st Financial Bank USA,,,,,AZ-03,,,Qualified Joint-Venture (spouses),1st Financial Bank USA,,,,56,,
18,353.0,,,18.0,1st Liberty FCU,,,,,AZ-04,,,Rollover as Business Start-Ups (ROB,1st Liberty FCU,,,,61,,
19,358.0,,,19.0,1st MidAmerica CU,,,,,AZ-05,,,Self-Employed Individuals,1st MidAmerica CU,,,,62,,
20,373.0,,,20.0,1st Mississippi FCU,,,,,AZ-06,,,Single Member LLC,1st Mississippi FCU,,,,71,,
21,390.0,,,21.0,1st National Bank,,,,,AZ-07,,,Sole Proprietorship,1st National Bank,,,,72,,
22,405.0,,,22.0,1st Security Bank of Washington,,,,,AZ-08,,,Subchapter S Corporation,1st Security Bank of Washington,,,,81,,
23,455.0,,,23.0,1st Source Bank,,,,,AZ-09,,,Tenant in Common,1st Source Bank,,,,92,,
24,457.0,,,24.0,1st State Bank,,,,,CA-,,,Tribal Concerns,1st State Bank,,,,99,,
25,459.0,,,25.0,1st Summit Bank,,,,,CA-01,,,Trust,1st Summit Bank,,,,11,,
26,460.0,,,26.0,"1st Trust Bank, Inc.",,,,,CA-02,,,,"1st Trust Bank, Inc.",,,,21,,
27,464.0,,,27.0,1st United Bank,,,,,CA-03,,,,1st United Bank,,,,22,,
28,470.0,,,28.0,21st Century Bank,,,,,CA-04,,,,21st Century Bank,,,,23,,
29,474.0,,,29.0,22nd State Bank,,,,,CA-05,,,,22nd State Bank,,,,31,,
30,491.0,,,30.0,360 FCU,,,,,CA-06,,,,360 FCU,,,,32,,
31,507.0,,,31.0,4Front Credit Union,,,,,CA-07,,,,4Front Credit Union,,,,33,,
32,508.0,,,32.0,5Star Bank,,,,,CA-08,,,,5Star Bank,,,,42,,
33,515.0,,,33.0,705 FCU,,,,,CA-09,,,,705 FCU,,,,44,,
34,549.0,,,34.0,A N E C A FCU,,,,,CA-10,,,,A N E C A FCU,,,,45,,
35,562.0,,,35.0,A O D FCU,,,,,CA-11,,,,A O D FCU,,,,48,,
36,563.0,,,36.0,A+ FCU,,,,,CA-12,,,,A+ FCU,,,,49,,
37,593.0,,,37.0,"A10Capital, LLC",,,,,CA-13,,,,"A10Capital, LLC",,,,51,,
38,610.0,,,38.0,AB&T,,,,,CA-14,,,,AB&T,,,,52,,
39,639.0,,,39.0,ABNB FCU,,,,,CA-15,,,,ABNB FCU,,,,53,,
40,669.0,,,40.0,ACB Bank,,,,,CA-16,,,,ACB Bank,,,,54,,
41,671.0,,,41.0,ACMG FCU,,,,,CA-17,,,,ACMG FCU,,,,55,,
42,677.0,,,42.0,ACNB Bank,,,,,CA-18,,,,ACNB Bank,,,,56,,
43,678.0,,,43.0,ACT 1st FCU,,,,,CA-19,,,,ACT 1st FCU,,,,61,,
44,679.0,,,44.0,AEA FCU,,,,,CA-20,,,,AEA FCU,,,,62,,
45,680.0,,,45.0,AG CREDIT ACA,,,,,CA-21,,,,AG CREDIT ACA,,,,71,,
46,681.0,,,46.0,AMG National Trust Bank,,,,,CA-22,,,,AMG National Trust Bank,,,,72,,
47,682.0,,,47.0,"AMPAC Tri-State CDC, Inc.",,,,,CA-23,,,,"AMPAC Tri-State CDC, Inc.",,,,81,,
48,709.0,,,48.0,ANB Bank,,,,,CA-24,,,,ANB Bank,,,,92,,
49,721.0,,,49.0,"ANZ Guam, Inc",,,,,CA-25,,,,"ANZ Guam, Inc",,,,99,,
50,736.0,,,50.0,ARC FCU,,,,,CA-26,,,,ARC FCU,,,,na,,
51,761.0,,,51.0,AVB Bank,,,,,CA-27,,,,AVB Bank,,,,,,
52,766.0,,,52.0,Abacus Federal Savings Bank,,,,,CA-28,,,,Abacus Federal Savings Bank,,,,,,
53,767.0,,,53.0,Abanca Corporation,,,,,CA-29,,,,Abanca Corporation,,,,,,
54,768.0,,,54.0,"Abbeville First Bank, SSB",,,,,CA-30,,,,"Abbeville First Bank, SSB",,,,,,
55,811.0,,,55.0,Abbey CU Inc,,,,,CA-31,,,,Abbey CU Inc,,,,,,
56,875.0,,,56.0,AbbyBank,,,,,CA-32,,,,AbbyBank,,,,,,
57,876.0,,,57.0,Abington Bank,,,,,CA-33,,,,Abington Bank,,,,,,
58,883.0,,,58.0,"Academy Bank, National Association",,,,,CA-34,,,,"Academy Bank, National Association",,,,,,
59,885.0,,,59.0,Acadia FCU,,,,,CA-35,,,,Acadia FCU,,,,,,
60,897.0,,,60.0,Access Bank,,,,,CA-36,,,,Access Bank,,,,,,
61,912.0,,,61.0,Access CU,,,,,CA-37,,,,Access CU,,,,,,
62,914.0,,,62.0,Access FCU,,,,,CA-38,,,,Access FCU,,,,,,
63,920.0,,,63.0,Access to Capital for Entrepreneurs,,,,,CA-39,,,,Access to Capital for Entrepreneurs,,,,,,
64,931.0,,,64.0,Accompany Capital,,,,,CA-40,,,,Accompany Capital,,,,,,
65,942.0,,,65.0,Achieva CU,,,,,CA-41,,,,Achieva CU,,,,,,
66,944.0,,,66.0,Adams Bank & Trust,,,,,CA-42,,,,Adams Bank & Trust,,,,,,
67,951.0,,,67.0,Adams Community Bank,,,,,CA-43,,,,Adams Community Bank,,,,,,
68,954.0,,,68.0,Adams County Bank,,,,,CA-44,,,,Adams County Bank,,,,,,
69,988.0,,,69.0,Adams State Bank,,,,,CA-45,,,,Adams State Bank,,,,,,
70,1013.0,,,70.0,Addition Financial CU,,,,,CA-46,,,,Addition Financial CU,,,,,,
71,1084.0,,,71.0,Adirondack Bank,,,,,CA-47,,,,Adirondack Bank,,,,,,
72,1086.0,,,72.0,Adirondack Regional FCU,,,,,CA-48,,,,Adirondack Regional FCU,,,,,,
73,1087.0,,,73.0,Adrian Bank,,,,,CA-49,,,,Adrian Bank,,,,,,
74,1094.0,,,74.0,Adrian State Bank,,,,,CA-50,,,,Adrian State Bank,,,,,,
75,9030.0,,,75.0,AdventHealth CU,,,,,CA-51,,,,AdventHealth CU,,,,,,
76,,,,76.0,Adventure CU,,,,,CA-52,,,,Adventure CU,,,,,,
77,,,,77.0,Advia Credit Union,,,,,CA-53,,,,Advia Credit Union,,,,,,
78,,,,78.0,Affinity Bank,,,,,CO-01,,,,Affinity Bank,,,,,,
79,,,,79.0,Affinity FCU,,,,,CO-02,,,,Affinity FCU,,,,,,
80,,,,80.0,Affinity First FCU,,,,,CO-03,,,,Affinity First FCU,,,,,,
81,,,,81.0,Affinity Plus FCU,,,,,CO-04,,,,Affinity Plus FCU,,,,,,
82,,,,82.0,African Development Center,,,,,CO-05,,,,African Development Center,,,,,,
83,,,,83.0,"AgCarolina Farm Credit, ACA",,,,,CO-06,,,,"AgCarolina Farm Credit, ACA",,,,,,
84,,,,84.0,AgChoice ACA,,,,,CO-07,,,,AgChoice ACA,,,,,,
85,,,,85.0,"AgCountry Farm Credit Service, PCA",,,,,CO-08,,,,"AgCountry Farm Credit Service, PCA",,,,,,
86,,,,86.0,"AgGeorgia Farm Credit, ACA",,,,,CT-01,,,,"AgGeorgia Farm Credit, ACA",,,,,,
87,,,,87.0,"AgHeritage Farm Credit Services, ACA",,,,,CT-02,,,,"AgHeritage Farm Credit Services, ACA",,,,,,
88,,,,88.0,"AgSouth Farm Credit, ACA",,,,,CT-03,,,,"AgSouth Farm Credit, ACA",,,,,,
89,,,,89.0,AgTexas Farm Credit Services,,,,,CT-04,,,,AgTexas Farm Credit Services,,,,,,
90,,,,90.0,Agrow Credit Corporation,,,,,CT-05,,,,Agrow Credit Corporation,,,,,,
91,,,,91.0,Air Academy FCU,,,,,DC-,,,,Air Academy FCU,,,,,,
92,,,,92.0,Air Force FCU,,,,,DE-,,,,Air Force FCU,,,,,,
93,,,,93.0,AlaTrust CU,,,,,DE-01,,,,AlaTrust CU,,,,,,
94,,,,94.0,Alabama CU,,,,,FL-,,,,Alabama CU,,,,,,
95,,,,95.0,Alabama Central CU,,,,,FL-01,,,,Alabama Central CU,,,,,,
96,,,,96.0,Alabama One CU,,,,,FL-02,,,,Alabama One CU,,,,,,
97,,,,97.0,Alabama Teachers CU,,,,,FL-03,,,,Alabama Teachers CU,,,,,,
98,,,,98.0,Alamerica Bank,,,,,FL-04,,,,Alamerica Bank,,,,,,
99,,,,99.0,Alamosa State Bank,,,,,FL-05,,,,Alamosa State Bank,,,,,,
